tracks/artist;tracks/album;tracks/track
Fall Out Boy;American Beauty/American Psycho;Irresistible
State Champs;Around the World and Back;Tooth and Nail
Citizen;As You Please;Discrete Routine
Can't Swim;This Too Won't Pass;Malicious 444
Stand Atlantic;Pink Elephant;Soap
Tiny Moving Parts;Celebrate;Headache
The Greatest Bits;Night in the Woods;Astral Alley
Local News Legend;Local News Legend;No Rehab!
Real Friends;This Is Honesty;High Hopes
Tiny Moving Parts;breathe;Hallmark
Real Friends;Maybe This Place Is The Same And We're Just Changing;To: My Old Self
The Maine;Can't Stop Won't Stop;You Left Me
ROAM;Great Heights & Nosedives;Playing Fiction
Modern Baseball;MOBO Presents: The Perfect Cast EP feat. Modern Baseball;Revenge Of The Nameless Ranger
The Wonder Years;No Closer To Heaven;Cardinals
The Wonder Years;Suburbia I've Given You All and Now I'm Nothing (Deluxe Version);Coffee Eyes
The Homeless Gospel Choir;Presents: Normal;Holy Shit
Matt Maeson;Never Had to Leave;Sanctified
The Wombats;Glitterbug;Sex and Question Marks
Basement;I Wish I Could Stay Here;Earl Grey
SAINTE;smile and wave;Technicolor
Neck Deep;The Peace And The Panic;Critical Mistake
My Chemical Romance;The Black Parade;Teenagers
Kesha;Rainbow;Rainbow
AS IT IS;Never Happy  Ever After;Winter's Weather
Carolina Gaitán - La Gaita;Encanto;We Don't Talk About Bruno
The Maine;Can't Stop Won't Stop;Into Your Arms
The Maine;Less Noise: A Collection of Songs by a Band Called the Maine;Don’t Stop Now (Acoustic)
The Front Bottoms;The Front Bottoms;Rhode Island
Real Friends;Put Yourself Back Together;Dirty Water
The Wombats;Beautiful People Will Ruin Your Life;Bee-Sting
She/Her/hers;Grrrl Angst;Gender Is Boring
Chase Petra;Liminal;Kind of  Maybe
All Time Low;Don't Panic: It's Longer Now!;Canals
YUNGBLUD;YUNGBLUD;Anarchist - Unplugged
Fall Out Boy;American Beauty/American Psycho;Favorite Record
Hot Milk;Are You Feeling Alive?;Take Your Jacket
Rudimental;x;Lay It All on Me (feat. Ed Sheeran)
Boston Manor;Welcome to the Neighbourhood;Bad Machine
Troye Sivan;Blue Neighbourhood;THE QUIET
Real Friends;Maybe This Place Is The Same And We're Just Changing;…And We're Just Changing
The Greatest Bits;Night in the Woods;Mallard's Tomb
State Champs;Kings of the New Age;Where Were You
Panic! At The Disco;Vices & Virtues;Let's Kill Tonight
Simple Creatures;Strange Love;Strange Love
Real Friends;Composure;Composure
Crown The Empire;Limitless;Johnny Ringo
The Maine;Lovely Little Lonely;Taxi
YUNGBLUD;Loner;Loner
Peach PRC;God Is A Freak;God Is A Freak
The Front Bottoms;Going Grey;Peace Sign
All Time Low;Nothing Personal;Therapy
Real Friends;Composure;Unconditional Love
Troye Sivan;Blue Neighbourhood;COOL
Stand Atlantic;Pink Elephant;Blurry
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;Vampire Money
Knuckle Puck;Copacetic;Poison Pen Letter
All Time Low;Last Young Renegade;Drugs & Candy
Airways;Slow;Slow
Knuckle Puck;20/20;20/20
All Time Low;Wake Up  Sunshine;January Gloom (Seasons  Pt. 1)
Chase Petra;Liminal;Bildungsroman
Basement;I Wish I Could Stay Here;Plan To Be Surprised
The Eskies;And Don't Spare The Horses;You'd Already Gone
Neck Deep;Life's Not Out To Get You;The Beach Is For Lovers (Not Lonely Losers)
Simi;Animal Kingdom;Lullaby
All Time Low;So Wrong  It's Right (Deluxe Version);Let It Roll - Connect Sets Acoustic
Jessica Darrow;Encanto;Surface Pressure
Ed Sheeran;Loose Change;Homeless
YUNGBLUD;weird!;the freak show
Tigers Jaw;Charmer;Distress Signal
All Time Low;So Wrong  It's Right (Deluxe Version);Six Feet Under The Stars - Acoustic
Tigers Jaw;Charmer;Slow Come On
Stand Atlantic;Skinny Dipping;Skinny Dipping
Sticky Fingers;Land Of Pleasure;Rum Rage
All Time Low;Dirty Work;Heroes
Crown The Empire;The Fallout;Johnny's Revenge
The Front Bottoms;Talon of the Hawk;Twin Size Mattress
PVRIS;Hallucinations;Hallucinations
Ed Sheeran;÷;Barcelona
Birds in the Airport;Domesticated Drowsiness;Honey Moon
Seaway;Vacation;London
Slaughter Beach; Dog;Birdie
All Time Low;So Wrong  It's Right (Deluxe Version);Stay Awake (Dreams Only Last For A Night)
All Time Low;Future Hearts;Kids In The Dark
Have Mercy;Make The Best Of It;Begging For Bones
Tigers Jaw;Lemon Mouth;Lemon Mouth
Fall Out Boy;Folie à Deux;West Coast Smoker
Citizen;Youth;How Does It Feel?
Matt Maeson;Bank On The Funeral;I Just Don't Care That Much
Eat Your Heart Out;Florescence;Carousel
Ed Sheeran;+;Wake Me Up
Microwave;Stovall;Trash Stains
Ed Sheeran;x;One
YUNGBLUD;the underrated youth;hope for the underrated youth
State Champs;Living Proof;Crystal Ball
ROAM;Smile Wide;Toy Box
Tom Rosenthal;Keep a Private Room Behind the Shop;Away with the Fairies
The Wonder Years;No Closer To Heaven;No Closer To Heaven
The Eskies;And Don't Spare The Horses;Building Up Walls
Frank Iero;Stomachaches;.tragician.
Stand Atlantic;f.e.a.r.;van gogh
girl in red;if i could make it go quiet;Serotonin
Knuckle Puck;Shapeshifter;Conduit
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;wish you were gay
Steph Barrak;Words to Break Your Heart;Connecticut
Stand Atlantic;f.e.a.r.;i wonder what kind of garlic bread they eat at MENSA
carolesdaughter;My Mother Wants Me Dead;My Mother Wants Me Dead
AS IT IS;The Great Depression;The Reaper
State Champs;Around the World and Back;Losing Myself - Acoustic
All Time Low;So Wrong  It's Right (Deluxe Version);Remembering Sunday
The Front Bottoms;Ann;I Think Your Nose Is Bleeding
Billie Eilish;WHEN WE ALL FALL ASLEEP  WHERE DO WE GO?;i love you
Can't Swim;Fail You Again;All The Moves We Make Are In The Dark
Can't Swim;Fail You Again;Stranger
Cistem Failure;Cistem Failure;Boot on Your Face
All Time Low;Last Young Renegade;Dark Side of Your Room
The Maine;You Are OK;Flowers On The Grave
The Front Bottoms;GDP & The Front Bottoms;Handcuffs
Dynoro;In My Mind;In My Mind
My Chemical Romance;Danger Days: The True Lives of the Fabulous Killjoys;The Only Hope for Me Is You
The Maine;Black & White;Don't Stop Now
Matt Maeson;We Were The Same;We Were The Same
MGMT;Little Dark Age;Little Dark Age
Ed Sheeran;5;Fall
Sidney Gish;No Dogs Allowed;Not but for You  Bunny
My Chemical Romance;The Black Parade;The Sharpest Lives
Troye Sivan;Bloom;Lucky Strike
