,track,artist,album
0,Fool,Frankie Cosmos,Next Thing
1,Don't Stop Now,The Maine,Black & White
2,Eloise,The Eskies,After the Sherry Went Round
4,goodbye,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
5,Something's Keeping Me Here,Real Friends,This Is Honesty
6,Small Bump - Live at Wembley Stadium,Ed Sheeran,x
7,Tidal Waves (feat. Mark Hoppus),All Time Low,Future Hearts
8,Tears Over Beers,Modern Baseball,Sports
9,Threat Level Midnight,Neck Deep,Life's Not Out To Get You
10,The Record,State Champs,"Apparently, I'm Nothing"
11,"I Love You, Will You Marry Me",YUNGBLUD,21st Century Liability
12,In the Middle Of It All,Citizen,As You Please
13,Lucy,Simple Creatures,Strange Love
14,Friends,Chapel,Friends
15,Lucy,Simple Creatures,Strange Love
16,Blurry Vision,Tigers Jaw,spin
17,Winter,PVRIS,Winter
18,Shed a Tear,Kodaline,Politics of Living
19,Hell Froze Over,Kodaline,Politics of Living
20,Remembering Sunday,All Time Low,"So Wrong, It's Right"
21,Worth It,Kodaline,Politics of Living
22,Thanks to You,All Time Low,Don't Panic
23,Lonely,The Maine,Lovely Little Lonely
24,Toothpick,Stand Atlantic,Skinny Dipping
25,Dip You in Honey,The Wombats,Beautiful People Will Ruin Your Life
26,Hope,Modern Baseball,Couples Therapy
27,.stage 4 fear of trying.,Frank Iero,Stomachaches
28,Nothing Left,Basement,Beside Myself
29,Hand Grenade,ROAM,Smile Wide
30,Fool,Frankie Cosmos,Next Thing
31,Begging For Bones,Have Mercy,Make The Best Of It
32,Want Me Around,Knuckle Puck,Shapeshifter
33,Persistent,New Found Glory,Resurrection: Ascension
34,Plastic Brains,Knuckle Puck,Shapeshifter
35,Sixteen,Real Friends,Maybe This Place Is The Same And We're Just Changing
36,All or Nothing,State Champs,Around the World and Back
38,The Stigma (Boys Don’t Cry),AS IT IS,The Great Depression
40,Mess I Made,Stand Atlantic,Sidewinder
41,Scatterbrained,ROAM,Great Heights & Nosedives
42,Lost Boy,Real Friends,Put Yourself Back Together
43,Catholic,Grayscale,What We're Missing
46,Wait,Knuckle Puck,Shapeshifter
47,Cu,Boston Manor,Be Nothing.
48,To: My Old Self,Real Friends,Maybe This Place Is The Same And We're Just Changing
51,Curse Me Out,Seaway,Vacation
53,The Two Tongues (Screaming Salvation),AS IT IS,The Great Depression
54,The Fire On The Ceiling,ROAM,Smile Wide
56,Stick Up,Boston Manor,Welcome to the Neighbourhood
58,How It Used To Be,State Champs,"Apparently, I'm Nothing"
59,Hate Me (Sometimes),Stand Atlantic,Hate Me (Sometimes)
60,To: My Old Self,Real Friends,Maybe This Place Is The Same And We're Just Changing
61,Stories Of A Different Kind,New Found Glory,Resurrection: Ascension
62,Speak Slow,Stand Atlantic,Skinny Dipping
63,Resurrection,New Found Glory,Resurrection: Ascension
64,England's Dreaming - Acoustic,Boston Manor,Englands Dreaming (Acoustic)
65,Tunnel Vision,Boston Manor,Welcome to the Neighbourhood
67,Playing Fiction,ROAM,Great Heights & Nosedives
68,Gone,Knuckle Puck,Gone
69,Back and Forth,State Champs,Around the World and Back
71,Parachute,Neck Deep,The Peace And The Panic
72,Unconditional Love,Real Friends,Composure
73,Coffee at Midnight,Stand Atlantic,Sidewinder
75,Lost Boy,Real Friends,Put Yourself Back Together
76,Mokena,Real Friends,The Home Inside My Head
79,Your Graduation,Stand Atlantic,Songs That Saved My Life
80,From The Outside,Real Friends,Composure
