endTime,artistName,trackName,msPlayed
2022-11-30 22:57,The Mountain Goats,No Children,18151
2022-12-01 08:30,The Mountain Goats,No Children,7738
2022-12-01 08:33,Kailee Morgue,Unfortunate Soul,187320
2022-12-01 08:37,Bloc Party,Banquet,201360
2022-12-01 08:40,Bolshiee,Wish I Never Loved You,225000
2022-12-01 08:41,Wheatus,Teenage Dirtbag,34365
2022-12-01 08:44,Derivakat,Blue,147217
2022-12-01 08:47,Ricky Montgomery,This December,181920
2022-12-01 08:57,Good Morning Jazz Academy,Calm Waiting Room,220000
2022-12-01 09:00,millennium parade,U - English Version,183531
2022-12-01 09:11,The Monkees,Pleasant Valley Sunday - 2007 Remaster,194466
2022-12-01 09:16,The Piano Guys,Something Just Like This / Hungarian Rhapsody,96835
2022-12-01 09:17,Mother Mother,Verbatim,46144
2022-12-01 09:19,WILLOW,Marceline,136760
2022-12-01 09:30,BAYNK,Mine,2448
2022-12-01 09:35,Stephen Sanchez,Until I Found You,105374
2022-12-01 11:32,Raffi,Bananaphone,17418
2022-12-01 11:32,Stephen Sanchez,Until I Found You,73014
2022-12-01 11:34,Steven Universe,"Escapism (feat. AJ Michalka, Zach Callison & Grace Rolek)",79892
2022-12-01 11:41,Lunar Skybox,Rise,94174
2022-12-01 11:53,Dollar Signs,I Hope I Don't Fuck This Up,167205
2022-12-01 12:03,Neck Deep,What Took You So Long?,7956
2022-12-01 12:03,Tessa Violet,Bad Ideas,179173
2022-12-01 12:06,Clairo,Sofia,188386
2022-12-01 12:22,Football Club,You Are Everything And I Am Nothing... (bonus),105526
2022-12-01 13:28,Football Club,You Are Everything And I Am Nothing... (bonus),45293
2022-12-01 13:29,The Greeting Committee,Elise,102904
2022-12-01 13:30,Caterina Valente,Bongo Cha Cha Cha,8489
2022-12-01 13:33,OSKI,Wait For You,211053
2022-12-01 13:44,TEN,Birthday,221693
2022-12-01 13:48,DPR IAN,Seraph,138201
2022-12-01 13:53,anees,sun and moon,151507
2022-12-01 13:53,Dylan Conrique,birthday cake,8025
2022-12-01 15:04,The Ugly Boys,Run Away!,11760
2022-12-01 15:04,DragonForce,Seasons,5990
2022-12-01 15:08,Phutureprimitive,Altered Frequencies - Phutureprimitive Edit,224823
2022-12-01 15:15,Sascha Dikiciyan,G.A.R.M.,202053
2022-12-01 15:19,Koan,Briar Rose - Radio Version,257460
2022-12-01 15:25,Kiasmos,Orgoned,360320
2022-12-01 15:32,Perpetual Loop,By the Sea - Nocturnal Mix,422086
2022-12-01 15:37,Hiatus,Third,286253
2022-12-01 15:44,H.U.V.A. Network,Dissolving Time,408614
2022-12-01 15:48,Infinity Shred,Motiv,247858
2022-12-01 16:19,Eklipse,Teardrop,114718
