ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode;;;;
2014-06-20T12:13:54Z,resi_maresi,Windows 8 (6.2.9200; x64),252760,AT,62.46.156.68,unknown,One,Ed Sheeran,x,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,,,,clickrow,trackdone,False,0.0,False,0,False;;;
2014-06-20T13:52:08Z,resi_maresi,Windows 8 (6.2.9200; x64),228533,AT,62.46.156.68,unknown,Even My Dad Does Sometimes,Ed Sheeran,x,spotify:track:0N5zjRnf8AreOm95iSBXF4,,,,trackdone,trackdone,False,0.0,False,0,False;;;
2014-06-20T16:28:34Z,resi_maresi,Windows 8 (6.2.9200; x64),314280,AT,62.46.156.68,unknown,Afire Love,Ed Sheeran,x,spotify:track:12B0Twa9kRz45Xw2PgXHJm,,,,clickrow,trackdone,False,0.0,False,0,False;;;
2014-06-20T22:12:36Z,resi_maresi,Windows 8 (6.2.9200; x64),10904,AT,62.46.156.68,unknown,Sing,Ed Sheeran,x,spotify:track:6K8qKeWo5MsFED7wCR6Kop,,,,trackdone,fwdbtn,True,1.0,False,0,False;;;
2014-06-20T22:34:09Z,resi_maresi,Windows 8 (6.2.9200; x64),190226,AT,62.46.156.68,unknown,Shirtsleeves,Ed Sheeran,x,spotify:track:7awwmuGslmuyhnlpFipDqk,,,,trackdone,trackdone,True,0.0,False,0,False;;;
2014-06-20T22:46:50Z,resi_maresi,Windows 8 (6.2.9200; x64),205133,AT,62.46.156.68,unknown,Runaway,Ed Sheeran,x,spotify:track:2VmA7bm5ECiYZfw7x4Nzku,,,,trackdone,trackdone,True,0.0,False,0,False;;;
"2014-06-21T07:38:57Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",3065,AT,80.121.94.239,unknown,Tenerife Sea,Ed Sheeran,x,spotify:track:1HbcclMpw0q2WDWpdGCKdS,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;
"2014-06-21T08:47:49Z,resi_maresi,""Android OS 4.3 API 18 (samsung, GT-I9300)"",557,AT,213.162.68.156,unknown,Tenerife Sea,Ed Sheeran,x,spotify:track:1HbcclMpw0q2WDWpdGCKdS,,,,fwdbtn,fwdbtn,True,1.0,False,0,False";;;;
2014-06-22T09:54:21Z,resi_maresi,Windows 8 (6.2.9200; x64),0,AT,80.121.91.165,unknown,Photograph,Ed Sheeran,x,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,,,,fwdbtn,fwdbtn,True,1.0,False,0,False;;;
2014-07-01T19:52:32Z,resi_maresi,Windows 8 (6.2.9200; x64),213866,AT,193.83.228.160,unknown,We Still Believe,Stick To Your Guns,Diamond,spotify:track:7GiwUZWGcVuHT8fc8mmG5I,,,,appload,endplay,False,0.0,False,0,False;;;
2014-07-01T20:17:53Z,resi_maresi,Windows 8 (6.2.9200; x64),202640,AT,193.83.228.160,unknown,All I Want,A Day To Remember,What Separates Me From You,spotify:track:3imITUqEhkebNbOoS1yrWm,,,,trackdone,trackdone,False,0.0,False,0,False;;;
2014-07-01T20:34:20Z,resi_maresi,Windows 8 (6.2.9200; x64),268408,AT,193.83.228.160,unknown,,,,,,,,trackdone,trackdone,False,0.0,False,0,False;;;
